variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
853476,0,,,
856825,0,873063,,
857856,1,,,
857892,0,,,
857893,0,,,
857894,0,,,
857895,0,,,
858690,0,,,
858691,0,,,
859376,0,,,
859948,0,,,
862436,0,873063,,
862581,0,,,
862936,0,,,
862938,0,,,
863606,0,873063,,
863645,0,873063,,
863731,1,,,
864247,1,,,
864250,0,,,
864752,0,873063,,
865034,1,,,
865103,1,,,
865190,0,873063,,
865815,1,,,
865820,0,,,
865821,0,,,
865822,0,,,
865823,0,,,
865835,0,,,
865849,0,,,
866131,0,873063,,
866508,0,872360,,
866602,1,,,
866624,1,,,
866625,1,,,
866631,0,,,
866632,0,,,
866633,0,,,
866935,1,,,
866959,0,,,
867067,0,,,
867132,0,,,
867181,0,,,
867276,0,,,
867298,1,,,
867315,0,872360,,
867322,0,873063,,
867327,0,873063,,
867357,0,872360,,
867385,0,873063,,
867440,1,,,
867546,0,,,
867741,0,872360,,
867875,0,,,
867876,0,872360,,
867908,0,,,
868565,1,,,
868588,1,,,
868604,0,,,
868606,0,,,
868663,1,,,
868706,0,872360,,
868717,0,873063,,
868718,0,,,
868737,0,872360,,
868760,0,872360,,
868791,0,872360,,
868794,0,872360,,
868858,0,,,
868877,0,,,
868878,0,872360,,
868879,0,,,
868892,0,873063,,
868929,0,,,
869131,1,,,
869202,0,873063,,
869352,1,,,
869371,0,872360,,
869375,0,873063,,
869377,0,872360,,
869379,0,872360,,
869388,0,873063,,
869426,0,872360,,
869430,0,873063,,
869452,0,872360,,
869454,0,872360,,
869520,0,872360,,
869550,0,873063,,
869618,0,,,
869657,1,,,
869660,1,,,
869677,0,,,
869678,0,,,
869686,0,,,
869708,0,,,
869745,1,,,
869746,1,,,
869747,1,,,
869754,1,,,
869763,0,873063,,
869770,0,873063,,
869776,0,872360,,
869788,0,873063,,
869813,0,872360,,
869826,0,873063,,
869830,0,872360,,
869831,0,873063,,
869862,0,873063,,
869874,1,,,
869937,0,872360,,
869938,0,,,
869939,0,873063,,
869970,0,872360,,
869973,0,873063,,
870020,0,872360,,
870024,0,872360,,
870078,0,,,
870127,1,,,
870136,0,,,
870218,0,,,
870220,0,,,
870231,1,,,
870259,1,,,
870349,0,,,
870371,0,872360,,
870372,0,873063,,
870378,0,,,
870421,0,873063,,
870423,0,873063,,
870424,0,,,
870425,0,872360,,
870435,0,,,
870454,0,873063,,
870553,1,,,
870577,1,,,
870578,1,,,
870581,1,,,
870582,1,,,
870585,1,,,
870595,0,873063,,
870596,0,873063,,
870628,0,872360,,
870632,0,872360,,
870657,0,872360,,
870658,0,872360,,
870676,0,873063,,
870856,0,,,
870876,1,,,
870882,0,,,
870883,0,,,
870884,0,,,
870885,0,,,
870928,1,,,
870935,1,,,
870959,0,,,
870969,0,,,
870971,0,,,
870972,0,,,
871012,0,,,
871090,1,,,
871108,1,,,
871109,1,,,
871146,0,873063,,
871181,0,872360,,
871187,0,873063,,
871193,0,,,
871201,0,873063,,
871207,0,873063,271,
871208,0,872360,,
871226,0,872360,,
871227,0,,,
871229,0,873063,,
871251,0,873063,,
871252,0,872360,,
871253,0,873063,,
871258,0,872360,,
871263,0,872360,,
871288,0,873063,,
871315,1,,,
871331,1,,,
871335,1,,,
871343,0,873063,,
871362,0,872360,,
871376,0,873063,,
871426,0,,,
871456,1,,,
871495,1,,,
871527,1,,,
871531,1,,,
871535,1,,,
871536,1,,,
871542,1,,,
871594,0,872360,,
871595,0,872360,,
871596,0,,,
871626,0,873063,,
871627,0,873063,,
871637,0,,,
871644,0,873063,,
871662,0,872360,,
871667,0,873063,,
871668,0,872360,,
871669,0,872360,,
871670,0,,,
871674,0,872360,,
871698,0,,,
871708,0,,,
871709,0,873063,,
871710,0,,,
871712,0,872360,,
871716,0,873063,,
871753,0,873063,,
871796,1,,,
871797,1,,,
871799,1,,,
871800,1,,,
871801,1,,,
871804,0,873063,,
871807,0,873063,,
871809,0,,,
871818,0,,,
871879,0,,,
871888,1,,,
871908,0,,,
871927,1,,,
871943,0,,,
871945,0,,,
871958,0,,,
871971,0,,,
871990,1,,,
871997,1,,,
872014,0,873063,,
872031,0,,,
872032,0,872360,,
872070,0,872360,,
872080,0,873063,,
872081,0,,,
872082,0,873063,,
872089,0,873063,,
872195,0,873063,,
872215,1,,,
872219,1,,,
872237,0,872360,,
872304,1,,,
872306,1,,,
872307,0,873063,,
872314,0,873063,,
872315,0,,,
872317,0,872360,,
872334,1,,,
872344,0,,,
872351,0,,,
872360,1,,,
872365,1,,,
872369,1,,,
872380,0,,,
872382,0,,,
872407,0,,,
872409,0,,,
872417,1,,,
872471,1,,,
872480,1,,,
872484,1,,,
872498,0,,,
872525,1,,,
872533,1,,,
872552,1,,,
872558,1,,,
872571,1,,,
872572,1,,,
872578,1,,,
872579,1,,,
872608,0,,,
872609,0,,,
872610,0,,,
872612,0,872360,,
872634,0,873063,,
872646,0,,,
872647,0,,,
872648,0,873063,,
872649,0,,,
872667,0,,,
872679,0,872360,,
872690,0,872360,,
872696,0,872360,,
872698,0,,,
872700,0,,,
872704,0,,,
872708,0,,,
872715,0,,,
872717,0,,,
872718,0,,,
872743,0,,,
872745,0,,,
872746,0,872360,,
872747,0,873063,,
872749,0,873063,,
872761,0,,,
872773,0,873063,,
872779,0,873063,,
872782,0,872360,,
872784,0,,,
872791,0,,,
872793,0,,,
872806,0,,,
872809,0,,,
872817,0,872360,,
872818,0,873063,,
872826,0,,,
872843,0,873063,,
872858,0,,,
872864,0,,,
872865,0,872360,,
872866,0,,,
872874,0,,,
872893,0,,,
872894,0,873063,,
872910,0,873063,,
872920,0,872360,,
872928,0,,,
872946,1,,,
872950,1,,,
872951,1,,,
872977,1,,,
872985,1,,,
872993,0,,,
872995,0,,,
873010,0,,,
873034,0,,,
873038,1,,,
873039,1,,,
873040,1,,,
873041,1,,,
873042,1,,,
873043,1,,,
873044,1,,,
873045,1,,,
873046,0,,,
873048,0,,,
873049,0,,,
873050,0,,,
873051,0,,,
873052,0,,,
873053,0,,,
873054,0,,,
873055,0,,,
873056,0,,,
873057,0,,,
873058,0,,,
873059,0,,,
873060,0,,,
873063,1,,,
873069,1,,,
873070,1,,,
873071,1,,,
873077,1,,,
873078,1,,,
873082,1,,,
873085,1,,,
873086,1,,,
873088,1,,,
873090,1,,,
873092,1,,,
873093,1,,,
873094,1,,,
873095,1,,,
873096,1,,,
873097,1,,,
873100,1,,,
873101,1,,,
873104,1,,,
873115,1,,,
873129,0,873063,,
873130,0,873063,281,
873134,0,,,
873136,0,873063,,
